node,class,total_occurrences,num_articles,articles
triggering cascading mass movements,MEASURE,88,28,"Bull & Cartwright (2009).json(8); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); D. Leynaud.json(8); Submarine_Mass_Movements_on_Continental.json(5); epjbidisperse2007.json(1); lacoste-et-al.json(1); Moscardelli_and_Wood_2008.json(3); JFM_709_2012.json(7); Wei Li a,⁎, Tiago M. Alves.json(9); Giacomo Dalla Valle.json(4); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(3); Alves_AAPG_MTDs_14.json(5); 1-s2.0-S0264817216304585-main.json(3); RichardsonetalBasinResearch2011-online (1).json(2); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(1); J. S. Laberg.json(1); 1-s2.0-S0025322712000412-main.json(5); Elverhoi, A., Breien.json(1); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(2); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(2); 3-s2.0-B9780128130810007047-main.json(4); Dos-Reis-et-al-2016-MPG.json(3); Ian R. Clark, Joseph A. Cartwright.json(2); 9781565762879_ch02.json(3); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(1); 1-s2.0-S0025322713000571-main.json(1); Simon E. Lee.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(1)"
flow velocity and energy,PROCESS,85,20,"1-s2.0-S0264817216304585-main.json(4); JFM_709_2012.json(13); Submarine_Mass_Movements_on_Continental.json(4); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(10); epjbidisperse2007.json(5); 9781565762879_ch03.json(1); Elverhoi, A., Breien.json(9); Alves_AAPG_MTDs_14.json(6); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(9); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(6); 3-s2.0-B9780128130810007047-main.json(1); 1-s2.0-S0191814106000101-main.json(4); S. Lafuerza, N. Sultan.json(2); Moscardelli_and_Wood_2008.json(1); J. S. Laberg.json(3); Ian R. Clark, Joseph A. Cartwright.json(2); RichardsonetalBasinResearch2011-online (1).json(1); Simon E. Lee.json(1); 1-s2.0-S0025322713000571-main.json(2); lacoste-et-al.json(1)"
hs downslope evolution,LOCATION,80,25,"Bull & Cartwright (2009).json(6); Alves_AAPG_MTDs_14.json(5); Submarine_Mass_Movements_on_Continental.json(15); RichardsonetalBasinResearch2011-online (1).json(6); lacoste-et-al.json(4); Moscardelli_and_Wood_2008.json(5); JFM_709_2012.json(2); Dos-Reis-et-al-2016-MPG.json(5); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(1); Elverhoi, A., Breien.json(2); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(3); Ian R. Clark, Joseph A. Cartwright.json(2); 3-s2.0-B9780128130810007047-main.json(2); 1-s2.0-S0025322713000571-main.json(1); J. S. Laberg.json(3); Wei Li a,⁎, Tiago M. Alves.json(1); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(2); Simon E. Lee.json(5); Giacomo Dalla Valle.json(2); 9781565762879_ch02.json(2); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); 1-s2.0-S0025322712000412-main.json(1); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(1); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(2)"
mtd proportion in sedimentary pile,FEATURE,76,20,"Wei Li a,⁎, Tiago M. Alves.json(7); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(12); Alves_AAPG_MTDs_14.json(2); RichardsonetalBasinResearch2011-online (1).json(2); 3-s2.0-B9780128130810007047-main.json(5); Submarine_Mass_Movements_on_Continental.json(8); Dos-Reis-et-al-2016-MPG.json(6); Moscardelli_and_Wood_2008.json(4); 9781565762879_ch03.json(9); JFM_709_2012.json(2); Simon E. Lee.json(2); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(1); Bull & Cartwright (2009).json(1); Giacomo Dalla Valle.json(4); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(4); 845.json(2); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(2); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(1); J. S. Laberg.json(1); S. Lafuerza, N. Sultan.json(1)"
thickness variation,OTHER,68,28,"Ian R. Clark, Joseph A. Cartwright.json(2); D. Leynaud.json(1); Submarine_Mass_Movements_on_Continental.json(8); 1-s2.0-S0025322713000571-main.json(2); Bull & Cartwright (2009).json(1); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(8); 1-s2.0-S0264817216304585-main.json(2); RichardsonetalBasinResearch2011-online (1).json(5); JFM_709_2012.json(2); Alves_AAPG_MTDs_14.json(2); Moscardelli_and_Wood_2008.json(1); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1); 9781565762879_ch03.json(4); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(1); 1-s2.0-S0191814106000101-main.json(2); epjbidisperse2007.json(2); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); 3-s2.0-B9780128130810007047-main.json(2); Dos-Reis-et-al-2016-MPG.json(1); Wei Li a,⁎, Tiago M. Alves.json(5); 1-s2.0-S0025322712000412-main.json(3); 1-s2.0-S0040195109002819-main.json(6); lacoste-et-al.json(1); 845.json(1); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); Elverhoi, A., Breien.json(1); Giacomo Dalla Valle.json(1); S. Lafuerza, N. Sultan.json(1)"
basin depocenter position,LOCATION,67,23,"Ian R. Clark, Joseph A. Cartwright.json(4); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(10); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); 9781565762879_ch03.json(5); Moscardelli_and_Wood_2008.json(7); Giacomo Dalla Valle.json(3); Simon E. Lee.json(3); Wei Li a,⁎, Tiago M. Alves.json(2); 3-s2.0-B9780128130810007047-main.json(1); Submarine_Mass_Movements_on_Continental.json(3); RichardsonetalBasinResearch2011-online (1).json(2); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); 1-s2.0-S0025322713000571-main.json(1); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(6); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(4); 845.json(2); Alves_AAPG_MTDs_14.json(2); 1-s2.0-S0025322712000412-main.json(2); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(2); Dos-Reis-et-al-2016-MPG.json(2); D. Leynaud.json(2); 1-s2.0-S0040195109002819-main.json(1); 9781565762879_ch02.json(1)"
lithology of underlying material in source zone,LOCATION,57,24,"9781565762879_ch02.json(6); Wei Li a,⁎, Tiago M. Alves.json(2); Dos-Reis-et-al-2016-MPG.json(2); 9781565762879_ch03.json(1); Ian R. Clark, Joseph A. Cartwright.json(2); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(3); 1-s2.0-S0025322712000412-main.json(1); Alves_AAPG_MTDs_14.json(4); Giacomo Dalla Valle.json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(2); Moscardelli_and_Wood_2008.json(5); Elverhoi, A., Breien.json(4); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(3); 845.json(1); Bull & Cartwright (2009).json(3); Submarine_Mass_Movements_on_Continental.json(3); J. S. Laberg.json(3); 1-s2.0-S0040195109002819-main.json(2); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(1); Simon E. Lee.json(1); 1-s2.0-S0264817216304585-main.json(4); D. Leynaud.json(1); RichardsonetalBasinResearch2011-online (1).json(1); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(1)"
fluid overpressure on basal surface,FEATURE,56,19,"Bull & Cartwright (2009).json(18); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(3); lacoste-et-al.json(3); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(1); Elverhoi, A., Breien.json(1); Alves_AAPG_MTDs_14.json(2); RichardsonetalBasinResearch2011-online (1).json(7); 1-s2.0-S0025322713000571-main.json(5); 9781565762879_ch02.json(1); S. Lafuerza, N. Sultan.json(1); 9781565762879_ch03.json(2); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(1); Submarine_Mass_Movements_on_Continental.json(3); 3-s2.0-B9780128130810007047-main.json(2); 1-s2.0-S0025322712000412-main.json(1); 1-s2.0-S0040195109002819-main.json(2); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(1); Giacomo Dalla Valle.json(1); Moscardelli_and_Wood_2008.json(1)"
triggering turbidity current,OTHER,52,12,"Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(2); Submarine_Mass_Movements_on_Continental.json(8); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(9); Elverhoi, A., Breien.json(3); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(12); 1-s2.0-S0025322712000412-main.json(1); Dos-Reis-et-al-2016-MPG.json(3); Giacomo Dalla Valle.json(2); Simon E. Lee.json(8); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(2); 9781565762879_ch02.json(1); 3-s2.0-B9780128130810007047-main.json(1)"
pore pressure increase by fluid migration,TRIGGER,49,22,"9781565762879_ch03.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(4); D. Leynaud.json(7); Dos-Reis-et-al-2016-MPG.json(3); Ian R. Clark, Joseph A. Cartwright.json(2); 3-s2.0-B9780128130810007047-main.json(6); Moscardelli_and_Wood_2008.json(3); Elverhoi, A., Breien.json(2); Giacomo Dalla Valle.json(1); 9781565762879_ch02.json(2); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(1); Submarine_Mass_Movements_on_Continental.json(5); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(2); 1-s2.0-S0025322713000571-main.json(1); S. Lafuerza, N. Sultan.json(1); 1-s2.0-S0025322712000412-main.json(1); 1-s2.0-S0264817216304585-main.json(1); Alves_AAPG_MTDs_14.json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(1); JFM_709_2012.json(2); lacoste-et-al.json(1); 386816a0.json(1)"
us with turbidites on top,PROCESS,44,18,"Ian R. Clark, Joseph A. Cartwright.json(1); J. S. Laberg.json(2); 9781565762879_ch02.json(2); 3-s2.0-B9780128130810007047-main.json(1); Bull & Cartwright (2009).json(1); 9781565762879_ch03.json(7); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(9); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(7); Submarine_Mass_Movements_on_Continental.json(3); epjbidisperse2007.json(1); Giacomo Dalla Valle.json(1); Moscardelli_and_Wood_2008.json(1); D. Leynaud.json(2); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(2); Alves_AAPG_MTDs_14.json(1); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(1); Dos-Reis-et-al-2016-MPG.json(1)"
fluid overpressure in moving mass,TRIGGER,43,19,"Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(2); D. Leynaud.json(1); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(3); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(4); RichardsonetalBasinResearch2011-online (1).json(1); lacoste-et-al.json(2); Submarine_Mass_Movements_on_Continental.json(2); S. Lafuerza, N. Sultan.json(1); Giacomo Dalla Valle.json(1); 386816a0.json(6); Elverhoi, A., Breien.json(4); Dos-Reis-et-al-2016-MPG.json(1); JFM_709_2012.json(7); 9781565762879_ch02.json(1); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(3); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(1); 1-s2.0-S0040195109002819-main.json(1); epjbidisperse2007.json(1); Alves_AAPG_MTDs_14.json(1)"
lithology of underlying material downslope,LOCATION,26,12,Moscardelli_and_Wood_2008.json(4); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(1); Simon E. Lee.json(2); 9781565762879_ch03.json(5); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(4); 9781565762879_ch02.json(4); Bull & Cartwright (2009).json(1); J. S. Laberg.json(1); Giacomo Dalla Valle.json(1); 845.json(1); 1-s2.0-S0025322713000571-main.json(1)
triggering cascading mtds,FEATURE,26,15,9781565762879_ch03.json(5); 9781565762879_ch02.json(1); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(3); Bull & Cartwright (2009).json(1); 1-s2.0-S0025322712000412-main.json(2); Giacomo Dalla Valle.json(2); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(2); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(2); Moscardelli_and_Wood_2008.json(1); D. Leynaud.json(2); Alves_AAPG_MTDs_14.json(1); Dos-Reis-et-al-2016-MPG.json(1); 1-s2.0-S0025322713000571-main.json(1); 3-s2.0-B9780128130810007047-main.json(1); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(1)
local thickening of flowing material,PROCESS,22,15,"Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(2); Submarine_Mass_Movements_on_Continental.json(2); 1-s2.0-S0264817216304585-main.json(2); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); Ian R. Clark, Joseph A. Cartwright.json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(2); lacoste-et-al.json(2); D. Leynaud.json(1); 1-s2.0-S0025322713000571-main.json(1); 9781565762879_ch03.json(1); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(2); RichardsonetalBasinResearch2011-online (1).json(1); JFM_709_2012.json(2); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(1); Bull & Cartwright (2009).json(1)"
plowing effect on underlying material,OTHER,18,9,"JFM_709_2012.json(3); 386816a0.json(1); 1-s2.0-S0025322712000412-main.json(4); lacoste-et-al.json(1); 9781565762879_ch02.json(4); Bull & Cartwright (2009).json(1); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); Elverhoi, A., Breien.json(2); Submarine_Mass_Movements_on_Continental.json(1)"
triggering turbidity current at stop,OTHER,17,13,epjbidisperse2007.json(2); JFM_709_2012.json(1); 1-s2.0-S0025322713000571-main.json(2); Giacomo Dalla Valle.json(1); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(3); Dos-Reis-et-al-2016-MPG.json(1); 1-s2.0-S0264817216304585-main.json(1); 9781565762879_ch03.json(1); D. Leynaud.json(1); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(1); Simon E. Lee.json(1); Submarine_Mass_Movements_on_Continental.json(1)
volume of transported material,PROCESS,16,11,"Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(3); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(1); S. Lafuerza, N. Sultan.json(3); Elverhoi, A., Breien.json(1); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(2); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(1); Dos-Reis-et-al-2016-MPG.json(1); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); D. Leynaud.json(1); Wei Li a,⁎, Tiago M. Alves.json(1); Submarine_Mass_Movements_on_Continental.json(1)"
erosion of underlying material,OTHER,10,8,"J. S. Laberg.json(1); Moscardelli_and_Wood_2008.json(1); Submarine_Mass_Movements_on_Continental.json(1); Bull & Cartwright (2009).json(2); Elverhoi, A., Breien.json(2); Ian R. Clark, Joseph A. Cartwright.json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(1); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(1)"
lateral distribution of mtds,FEATURE,8,7,Bull & Cartwright (2009).json(1); Alves_AAPG_MTDs_14.json(2); Moscardelli_and_Wood_2008.json(1); 845.json(1); 9781565762879_ch03.json(1); 1-s2.0-S0264817216304585-main.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(1)
seafloor shapes and dip variations,LOCATION,8,6,"Ian R. Clark, Joseph A. Cartwright.json(2); S. Lafuerza, N. Sultan.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(1); 3-s2.0-B9780128130810007047-main.json(1); 9781565762879_ch03.json(2); Wei Li a,⁎, Tiago M. Alves.json(1)"
lateral connection to other mtds,FEATURE,7,6,9781565762879_ch03.json(1); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(2); 1-s2.0-S0025322713000571-main.json(1); 9781565762879_ch02.json(1); Alves_AAPG_MTDs_14.json(1); Bull & Cartwright (2009).json(1)
initial potential energy of mass,MEASURE,3,1,Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(3)
initial aspect ratio and top of mass slope angle,LOCATION,3,3,RichardsonetalBasinResearch2011-online (1).json(1); Moscardelli_and_Wood_2008.json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(1)
